SESSION; TIME;RPM;L U SP;R U SP;L D SP;R D SP;SLIP%;SHIF A;

996 ;0:00,01 ;1614 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,02 ;1614 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,03 ;1626 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,04 ;1626 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,05 ;1686 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,06 ;1804 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,07 ;1804 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,08 ;1765 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,09 ;1765 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,10 ;1684 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,11 ;1684 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,12 ;1637 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,13 ;1616 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,14 ;1616 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,15 ;1726 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,16 ;1726 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,17 ;1765 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,18 ;1807 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,19 ;1807 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,20 ;1779 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,21 ;1779 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,22 ;1695 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,23 ;1695 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,24 ;1637 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,25 ;1637 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,26 ;1658 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,27 ;1742 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,28 ;1742 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,29 ;1772 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,30 ;1772 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,31 ;1751 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,32 ;1700 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,33 ;1700 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,34 ;1621 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,35 ;1621 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,36 ;1599 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,37 ;1599 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,38 ;1649 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,39 ;1649 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,40 ;1785 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,41 ;1828 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,42 ;1828 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,43 ;1776 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,44 ;1776 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,45 ;1693 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,46 ;1693 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
996 ;0:00,47 ;1636 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
